:ID,synsetId,note,:LABEL
ex_168,eng-10-01726021-a,"his face all ablaze with excitement- Bram Stoker",Example
ex_169,eng-10-01726021-a,"he was aflame with desire",Example
ex_170,eng-10-01650193-a,"the standard three-piece business suit; jacket and trousers and vest",Example
ex_171,eng-10-04345028-n,"he knocked lightly on the closed door of the study",Example
ex_172,eng-10-13971561-n,"there was a brief period of conciliation but the fighting soon resumed",Example
ex_173,eng-10-15168185-n,"young children should not be allowed to stay up until midnight",Example
ex_174,eng-10-00457770-v,"curdled milk",Example
ex_175,eng-10-07248060-n,"the author got all his friends to write blurbs for his book",Example
ex_176,eng-10-00801355-v,"We had to recount all the votes after an accusation of fraud was made",Example
ex_177,eng-10-07193596-n,"there was a question about my training",Example
ex_178,eng-10-07193596-n,"we made inquiries of all those who were present",Example
ex_179,eng-10-02507278-v,"He could not bring himself to call his parents",Example
ex_180,eng-10-04852962-n,"this deformity and filthiness of sin",Example
ex_181,eng-10-01275562-a,"important people",Example
ex_182,eng-10-01275562-a,"the important questions of the day",Example
ex_183,eng-10-01475828-v,"unleash the dogs in the park",Example
ex_184,eng-10-02182088-a,"false pretenses",Example
ex_185,eng-10-14031108-n,"putting them in readiness",Example
ex_186,eng-10-14031108-n,"their preparation was more than adequate",Example
ex_187,eng-10-02713372-v,"His sharp nose jutted out",Example
ex_188,eng-10-02713372-v,"A single rock sticks out from the cliff",Example
ex_189,eng-10-00180228-n,"he always wrote down his New Year's resolutions",Example
ex_190,eng-10-02157936-a,"a telescopic eye",Example
ex_191,eng-10-02157936-a,"telescopic vision",Example
ex_192,eng-10-02392961-v,"regiment soldiers",Example
ex_193,eng-10-02654947-v,"birds are nesting outside my window every Spring",Example
ex_194,eng-10-00781644-a,"a landscape of blurred outlines",Example
ex_195,eng-10-00781644-a,"the trees were just blurry shapes",Example
ex_196,eng-10-02735753-v,"How does this shirt fit?",Example
ex_197,eng-10-02449183-v,"The banks syndicated",Example
ex_198,eng-10-00122273-r,"the president acted unconstitutionally",Example
ex_199,eng-10-02179968-a,"one's dearest wish",Example
ex_200,eng-10-02179968-a,"devout wishes for their success",Example
ex_201,eng-10-02179968-a,"heartfelt condolences",Example
ex_202,eng-10-00872414-v,"The empty house alarmed him",Example
ex_203,eng-10-00872414-v,"We alerted the new neighbors to the high rate of burglaries",Example
ex_204,eng-10-00756728-a,"undiluted milk",Example
ex_205,eng-10-00756728-a,"an undiluted racial strain",Example
ex_206,eng-10-00498530-v,"the salts calcified the rock",Example
ex_207,eng-10-00114750-r,"The theater is centrally located",Example
ex_208,eng-10-02036397-a,"well-meaning but misguided teachers",Example
ex_209,eng-10-02036397-a,"a mistaken belief",Example
ex_210,eng-10-02036397-a,"mistaken identity",Example
ex_211,eng-10-01228530-a,"a line of people hopeful of obtaining tickets",Example
ex_212,eng-10-01228530-a,"found a hopeful way of attacking the problem",Example
ex_213,eng-10-05086740-n,"a leap of 10 feet",Example
ex_214,eng-10-06412213-n,"my doctor has the last word on the medicines I take",Example
ex_215,eng-10-00097504-n,"they criticised his performance as mayor",Example
ex_216,eng-10-00097504-n,"experience generally improves performance",Example
ex_217,eng-10-02039544-v,"tip the screen upward",Example
ex_218,eng-10-05811466-n,"cats were his greatest antipathy",Example
ex_219,eng-10-00199309-v,"qualify these remarks",Example
ex_220,eng-10-04245847-n,"smart bombs have revolutionized aerial bombardment",Example
ex_221,eng-10-01112573-a,"she practices economy without being stingy",Example
ex_222,eng-10-01112573-a,"an ungenerous response to the appeal for funds",Example
ex_223,eng-10-01757608-a,"he is the president pro tem",Example
ex_224,eng-10-01757608-a,"designated him to act as consul protempore- H.H.Fiske",Example
ex_225,eng-10-00179576-n,"the treaty had no teeth in it",Example
ex_226,eng-10-00638194-v,"Quantize gravity",Example
ex_227,eng-10-07530124-n,"their closeness grew as the night wore on",Example
ex_228,eng-10-02800689-a,"spherical geometry",Example
ex_229,eng-10-00367418-r,"in his foreword Professor Clark puts it explicitly",Example
ex_230,eng-10-00234217-v,"I am tied to UNIX",Example
ex_231,eng-10-00234217-v,"These big jets are tied to large airports",Example
ex_232,eng-10-01286777-v,"latch the door",Example
ex_233,eng-10-00704690-v,"He is planning a trip with his family",Example
ex_234,eng-10-04957854-n,"the primary subtractive colors for light are magenta, cyan, and yellow",Example
ex_235,eng-10-01812630-a,"a dazzling and finished piece of writing",Example
ex_236,eng-10-01812630-a,"a finished violinist",Example
ex_237,eng-10-00634906-v,"did you solve the problem?",Example
ex_238,eng-10-00634906-v,"Work out your problems with the boss",Example
ex_239,eng-10-00634906-v,"this unpleasant situation isn't going to work itself out",Example
ex_240,eng-10-00634906-v,"did you get it?",Example
ex_241,eng-10-00634906-v,"Did you get my meaning?",Example
ex_242,eng-10-00634906-v,"He could not work the math problem",Example
ex_243,eng-10-01097966-a,"a well-appointed kitchen",Example
ex_244,eng-10-01097966-a,"a well-appointed apartment",Example
ex_245,eng-10-02435671-a,"an intolerable degree of sentimentality",Example
ex_246,eng-10-00295701-n,"he enjoyed selling but he hated the travel",Example
ex_247,eng-10-01731828-v,"They went caroling on Christmas Day",Example
ex_248,eng-10-00270713-r,"play this section allegro",Example
ex_249,eng-10-14059663-n,"kidney failure",Example
ex_250,eng-10-02024022-a,"left his family unprovided for",Example
ex_251,eng-10-00806991-a,"a technically perfect but arid performance of the sonata",Example
ex_252,eng-10-00806991-a,"a desiccate romance",Example
ex_253,eng-10-00806991-a,"a prissy and emotionless creature...settles into a mold of desiccated snobbery-C.J.Rolo",Example
ex_254,eng-10-00174003-n,"the road to fame",Example
ex_255,eng-10-00958174-v,"The students parroted the teacher's words",Example
ex_256,eng-10-02425763-v,"the chairman called the meeting to order by pounding his gavel",Example
ex_257,eng-10-00923622-v,"The clock struck midnight",Example
ex_258,eng-10-00923622-v,"Just when I entered, the clock struck",Example
ex_259,eng-10-01327925-a,"a more closely integrated economic and political system- Dwight D.Eisenhower",Example
ex_260,eng-10-01327925-a,"an integrated Europe",Example
ex_261,eng-10-14526954-n,"these trees are widely planted because of their resistance to salt and smog",Example
ex_262,eng-10-01197386-a,"reformative and rehabilitative agencies",Example
ex_263,eng-10-01197386-a,"reformatory punishment",Example
ex_264,eng-10-00846052-a,"elective official",Example
ex_265,eng-10-02307008-v,"The church was tithed",Example
ex_266,eng-10-02344243-v,"a favor that cannot be paid back",Example
ex_267,eng-10-00919829-v,"rectify a curve",Example
ex_268,eng-10-05794694-n,"his planning for retirement was hindered by several uncertainties",Example
ex_269,eng-10-04732709-n,"a leader in the mold of her predecessors",Example
ex_270,eng-10-01560731-v,"His head was severed from his body",Example
ex_271,eng-10-01560731-v,"The soul discerped from the body",Example
ex_272,eng-10-02637466-v,"overstay or outstay one's welcome",Example
ex_273,eng-10-00127286-n,"he worked the pitcher for a base on balls",Example
ex_274,eng-10-09800056-n,"Democratic apparatchiks",Example
ex_275,eng-10-00012071-a,"a plan abstract and conceptional",Example
ex_276,eng-10-00012071-a,"to improve notional comprehension",Example
ex_277,eng-10-00012071-a,"a notional response to the question",Example
ex_278,eng-10-00213387-a,"a curly-coated water spaniel",Example
ex_279,eng-10-00160957-a,"a semidetached house",Example
ex_280,eng-10-13559782-n,"cell differentiation in the developing embryo",Example
ex_281,eng-10-00580346-a,"a featured actor",Example
ex_282,eng-10-00580346-a,"a featured item at the sale",Example
ex_283,eng-10-00785002-a,"often drugs and crime are not dissociable",Example
ex_284,eng-10-00785002-a,"the siamese twins were not considered separable",Example
ex_285,eng-10-00785002-a,"a song...never conceived of as severable from the melody",Example
ex_286,eng-10-13757249-n,"he stepped off ten paces from the old tree and began to dig",Example
ex_287,eng-10-02549393-a,"humid air",Example
ex_288,eng-10-02549393-a,"humid weather",Example
ex_289,eng-10-00382256-v,"transform energy to light",Example
ex_290,eng-10-05051249-n,"the ceremony was of short duration",Example
ex_291,eng-10-05051249-n,"he complained about the length of time required",Example
ex_292,eng-10-00068180-a,"a considered opinion",Example
ex_293,eng-10-00275088-v,"A weathered old hut",Example
ex_294,eng-10-00941037-v,"She swallowed the last words of her speech",Example
ex_295,eng-10-00815941-a,"in the middle years",Example
ex_296,eng-10-00815941-a,"in his middle thirties",Example
ex_297,eng-10-01302183-v,"pound the cows so they don't stray",Example
ex_298,eng-10-08120910-n,"the head of security was a former policeman",Example
ex_299,eng-10-00731574-v,"He was caught out",Example
ex_300,eng-10-00731574-v,"She was found out when she tried to cash the stolen checks",Example
ex_301,eng-10-00996448-a,"unfavorable conditions",Example
ex_302,eng-10-00996448-a,"an unfavorable comparison",Example
ex_303,eng-10-00996448-a,"unfavorable comments,",Example
ex_304,eng-10-00996448-a,"unfavorable impression",Example
ex_305,eng-10-01456221-a,"a murmurous brook",Example
ex_306,eng-10-01456221-a,"a soughing wind in the pines",Example
ex_307,eng-10-01456221-a,"a slow sad susurrous rustle like the wind fingering the pines- R.P.Warren",Example
ex_308,eng-10-02075296-n,"terrestrial carnivores have four or five clawed digits on each limb",Example
ex_309,eng-10-05098099-n,"he carried it to extremes",Example
ex_310,eng-10-02121859-a,"playful children just let loose from school",Example
ex_311,eng-10-01665332-v,"spatchcock a guinea hen",Example
ex_312,eng-10-14908422-n,"liver homogenate",Example
ex_313,eng-10-01371009-a,"a wrongful act",Example
ex_314,eng-10-01371009-a,"a wrongful charge",Example
ex_315,eng-10-00816839-a,"a man of advanced age",Example
ex_316,eng-10-00816839-a,"advanced in years",Example
ex_317,eng-10-00816839-a,"a ripe old age",Example
ex_318,eng-10-00816839-a,"the ripe age of 90",Example
ex_319,eng-10-00639148-v,"The rent was prorated for the rest of the month",Example
ex_320,eng-10-02543874-v,"This will counteract the foolish actions of my colleagues",Example
ex_321,eng-10-02470685-v,"The groups banded together",Example
ex_322,eng-10-04934220-n,"breadfruit has the same texture as bread",Example
ex_323,eng-10-04934220-n,"sand of a fine grain",Example
ex_324,eng-10-04934220-n,"fish with a delicate flavor and texture",Example
ex_325,eng-10-04934220-n,"a stone of coarse grain",Example
ex_326,eng-10-02343110-a,"made an excellent speech",Example
ex_327,eng-10-02343110-a,"the school has excellent teachers",Example
ex_328,eng-10-02343110-a,"a first-class mind",Example
ex_329,eng-10-01217043-v,"The beam holds up the roof",Example
ex_330,eng-10-01217043-v,"He supported me with one hand while I balanced on the beam",Example
ex_331,eng-10-01217043-v,"What's holding that mirror?",Example
ex_332,eng-10-00242575-a,"National Association for the Advancement of Colored People",Example
ex_333,eng-10-00242575-a,"dark-skinned peoples",Example
ex_334,eng-10-02104890-a,"radiosensitive cancer cells can be treated with radiotherapy",Example
ex_335,eng-10-02553797-a,"a rainless month",Example
ex_336,eng-10-02553797-a,"rainless skies",Example
ex_337,eng-10-13817872-n,"Ted Williams once had a batting average above .400",Example
ex_338,eng-10-07478718-n,"that was the shipwreck of their romance",Example
ex_339,eng-10-01172701-v,"She didn't touch her food all night",Example
ex_340,eng-10-00789138-v,"Let's investigate the syntax of Chinese",Example
ex_341,eng-10-00827302-v,"She was belabored by her fellow students",Example
ex_342,eng-10-04243370-n,"he put a quarter in the slot",Example
ex_343,eng-10-00825375-a,"occidental civilization",Example
ex_344,eng-10-00825375-a,"Hesperian culture",Example
ex_345,eng-10-02077152-n,"the male fur seal is much larger than the female",Example
ex_346,eng-10-02655698-v,"Keep your hands off my wife!",Example
ex_347,eng-10-02655698-v,"Keep your distance from this man--he is dangerous",Example
ex_348,eng-10-00468583-v,"Let us hope that relations with this country will normalize soon",Example
ex_349,eng-10-00123018-v,"the city suburbanized",Example
ex_350,eng-10-02379925-a,"English public schools are anachronistic",Example
ex_351,eng-10-00134701-a,"a book not appropriate for children",Example
ex_352,eng-10-00134701-a,"a funeral conducted the appropriate solemnity",Example
ex_353,eng-10-00134701-a,"it seems that an apology is appropriate",Example
ex_354,eng-10-02611976-v,"Light fell on her face",Example
ex_355,eng-10-02611976-v,"The sun shone on the fields",Example
ex_356,eng-10-02611976-v,"The light struck the golden necklace",Example
ex_357,eng-10-02611976-v,"A strange sound struck my ears",Example
ex_358,eng-10-07481785-n,"he had an absolute zeal for litigation",Example
ex_359,eng-10-01215017-v,"The icebergs and glaciers calve",Example
ex_360,eng-10-02564546-a,"the judges all wigged and robed",Example
ex_361,eng-10-02173838-v,"the bowstring was twanging",Example
ex_362,eng-10-02729023-v,"This student heads the class",Example
ex_363,eng-10-02477334-v,"Cancel the election results",Example
ex_364,eng-10-02477334-v,"strike down a law",Example
ex_365,eng-10-00181664-v,"Clear your desk",Example
ex_366,eng-10-01863442-a,"the politician tried to hide his white-shoe background",Example
ex_367,eng-10-01477564-a,"priapic episodes",Example
ex_368,eng-10-01477564-a,"priapic victories",Example
ex_369,eng-10-01743704-a,"penitential tears",Example
ex_370,eng-10-01743704-a,"wrote a penitential letter apologizing for her hasty words",Example
ex_371,eng-10-01266895-v,"galvanize steel",Example
ex_372,eng-10-04999741-n,"he recommended exercise to reduce my adiposity",Example
ex_373,eng-10-05697135-n,"his certainty reassured the others",Example
ex_374,eng-10-06753800-n,"on the assumption that he has been injured we can infer that he will not to play",Example
ex_375,eng-10-02602685-v,"the electronic travel market is slam-dunking traditional travel agencies",Example
ex_376,eng-10-05773049-n,"I can't follow your line of reasoning",Example
ex_377,eng-10-00573932-v,"Long-term exposure to this medicine may sensitize you to the allergen",Example
ex_378,eng-10-01308259-a,"respect for a well-read man",Example
ex_379,eng-10-01308259-a,"well-read in medieval history",Example
ex_380,eng-10-07515974-n,"the easiness we feel when sleeping",Example
ex_381,eng-10-00462092-v,"suppress a nascent uprising",Example
ex_382,eng-10-00462092-v,"stamp down on littering",Example
ex_383,eng-10-00462092-v,"conquer one's desires",Example
ex_384,eng-10-02362178-a,"liable to diabetes",Example
ex_385,eng-10-07285872-n,"is it better to view the appalling or merely hear of it?",Example
ex_386,eng-10-01763101-v,"The children bubbled over with joy",Example
ex_387,eng-10-01763101-v,"My boss was bubbling over with anger",Example
ex_388,eng-10-02081672-a,"his smile said that everything was copacetic",Example
ex_389,eng-10-02081672-a,"You had to be a good judge of what a man was like, and the English was copacetic- John O'Hara",Example
ex_390,eng-10-02337558-a,"eleven is one shy of a dozen",Example
ex_391,eng-10-02416030-v,"She dabbles in astronomy",Example
ex_392,eng-10-02416030-v,"He plays around with investments but he never makes any money",Example
ex_393,eng-10-01894196-a,"a tested method",Example
ex_394,eng-10-05625210-n,"a flight of fancy",Example
ex_395,eng-10-05625210-n,"flights of rhetoric",Example
ex_396,eng-10-05625210-n,"flights of imagination",Example
ex_397,eng-10-10737431-n,"children are talented undoers of their shoelaces",Example
ex_398,eng-10-04937587-n,"the costs of reducing hardness depend on the relative amounts of calcium and magnesium compounds that are present",Example
ex_399,eng-10-02010400-v,"The customer that was not served walked out",Example
ex_400,eng-10-01835023-a,"functional education selects knowledge that is concrete and usable rather than abstract and theoretical",Example
ex_401,eng-10-01835023-a,"functional architecture",Example
ex_402,eng-10-00824965-a,"he lives in upper westside Manhattan",Example
ex_403,eng-10-05098942-n,"a wolf is about the size of a large dog",Example
ex_404,eng-10-00509702-r,"after the surgery, she could move her arms painlessly",Example
ex_405,eng-10-00722675-v,"The discovery of the skull riveted the paleontologists",Example
ex_406,eng-10-02331326-v,"Our house is not air-conditioned",Example
ex_407,eng-10-01013681-a,"the senior prom",Example
ex_408,eng-10-02357873-v,"We watered the buffalo",Example
ex_409,eng-10-07210225-n,"they finished the game under protest to the league president",Example
ex_410,eng-10-07210225-n,"the senator rose to register his protest",Example
ex_411,eng-10-07210225-n,"the many protestations did not stay the execution",Example
ex_412,eng-10-02143124-v,"the lion is rampant in this heraldic depiction",Example
ex_413,eng-10-05938633-n,"the new policy will be a pacesetter in community relations",Example
ex_414,eng-10-00820219-a,"Old English is also called Anglo Saxon",Example
ex_415,eng-10-00820219-a,"Old High German is High German from the middle of the 9th to the end of the 11th century",Example
ex_416,eng-10-00691665-v,"How did you like the President's speech last night?",Example
ex_417,eng-10-05125193-n,"on the verge of tears",Example
ex_418,eng-10-05125193-n,"on the brink of bankruptcy",Example
ex_419,eng-10-00102420-v,"She stubbed her toe in the dark and now it's broken",Example
ex_420,eng-10-00173391-a,"was big with child",Example
ex_421,eng-10-00173391-a,"was great with child",Example
ex_422,eng-10-00537494-v,"Can you unscramble the message?",Example
ex_423,eng-10-02270782-a,"the blase traveler refers to the ocean he has crossed as `the pond'",Example
ex_424,eng-10-02270782-a,"the benefits of his worldly wisdom",Example
ex_425,eng-10-07416714-n,"at such junctures he always had an impulse to leave",Example
ex_426,eng-10-07416714-n,"it was needed only on special occasions",Example
ex_427,eng-10-01532589-v,"Clean the stove!",Example
ex_428,eng-10-01532589-v,"The dentist cleaned my teeth",Example
ex_429,eng-10-01448362-a,"a viselike grip",Example
ex_430,eng-10-00952867-a,"an interior scene",Example
ex_431,eng-10-00952867-a,"interior decoration",Example
ex_432,eng-10-00952867-a,"an interior bathroom without windows",Example
ex_433,eng-10-02152812-v,"Please peruse this report at your leisure",Example
ex_434,eng-10-00098267-r,"they played at home last night",Example
ex_435,eng-10-02230990-a,"coarse meal",Example
ex_436,eng-10-02230990-a,"coarse sand",Example
ex_437,eng-10-02230990-a,"a coarse weave",Example
ex_438,eng-10-02002591-v,"The dog went off and quested",Example
