:ID,lexicalId,writtenForm,partOfSpeech,:LABEL
w252103,w252103,"使大吃一惊+的",a,Lemma
w260745,w260745,"未修订+的",a,Lemma
w203239,w203239,"肉眼可见+的",a,Lemma
w248689,w248689,"细鳞白云母",n,Lemma
w235166,w235166,"溶原化",n,Lemma
w196683,w196683,"横杆",n,Lemma
w233769,w233769,"微芯片",n,Lemma
w210171,w210171,"手不过肩",a,Lemma
w249880,w249880,"增额",n,Lemma
w240308,w240308,"闪身躲开",v,Lemma
w202439,w202439,"美国国旗",n,Lemma
w232999,w232999,"符合社会习俗+的",a,Lemma
w211079,w211079,"内省",r,Lemma
w249844,w249844,"秘鲁货币单位",n,Lemma
w249492,w249492,"腹腔+的",a,Lemma
w202896,w202896,"粗地蜡",n,Lemma
w189610,w189610,"取出",n,Lemma
w212251,w212251,"马蹄印",n,Lemma
w210237,w210237,"墨西哥猩猩草",n,Lemma
w191312,w191312,"梨形+的",a,Lemma
w242922,w242922,"多元纤维",n,Lemma
w212749,w212749,"柠檬薄荷",n,Lemma
w209400,w209400,"多次的",a,Lemma
w197591,w197591,"狂犬病",n,Lemma
w243234,w243234,"氧化砷",n,Lemma
w241118,w241118,"最上",a,Lemma
w226602,w226602,"削弱",n,Lemma
w188235,w188235,"麻痹",n,Lemma
w228605,w228605,"地位低的",a,Lemma
w206942,w206942,"利率低",n,Lemma
w202174,w202174,"固色剂",n,Lemma
w255562,w255562,"修过脸",a,Lemma
w251735,w251735,"樚木",n,Lemma
w240846,w240846,"大企鹅",n,Lemma
w200001,w200001,"周围环境",n,Lemma
w222689,w222689,"管辖权+的",a,Lemma
w242302,w242302,"两半",a,Lemma
w234516,w234516,"紧握",n,Lemma
w216058,w216058,"独家+的",a,Lemma
w196610,w196610,"最低",r,Lemma
w242904,w242904,"酸值",n,Lemma
w228517,w228517,"翅瓣",a,Lemma
w213727,w213727,"漫不经心",a,Lemma
w191764,w191764,"衰落",n,Lemma
w256624,w256624,"毫居里",n,Lemma
w221892,w221892,"排印+的",a,Lemma
w249465,w249465,"业务支出",n,Lemma
w239012,w239012,"对错选项+的",a,Lemma
w227746,w227746,"躯体感觉+的",a,Lemma
w204798,w204798,"圣母领报日",n,Lemma
w194634,w194634,"眼",a,Lemma
w187815,w187815,"第二",a,Lemma
w230297,w230297,"无鳔石首鱼",n,Lemma
w192110,w192110,"弯脉蕨属",n,Lemma
w228429,w228429,"排斥",r,Lemma
w213737,w213737,"长途公共汽车",n,Lemma
w242229,w242229,"有婚姻关系",a,Lemma
w208199,w208199,"考古学",a,Lemma
w204078,w204078,"图",n,Lemma
w228849,w228849,"兴奋剂",n,Lemma
w246581,w246581,"用证书批准",v,Lemma
w253401,w253401,"啜饮",v,Lemma
w201790,w201790,"狒狒",n,Lemma
w258705,w258705,"稀释剂",n,Lemma
w234429,w234429,"情绪不定+地",r,Lemma
w190761,w190761,"享有声望",a,Lemma
w242753,w242753,"尖端的",a,Lemma
w223634,w223634,"紫述香",n,Lemma
w254765,w254765,"湖",a,Lemma
w239482,w239482,"锯脂鲤属",n,Lemma
w217374,w217374,"不可食用的",a,Lemma
w234334,w234334,"己二酸",n,Lemma
w249992,w249992,"前进",a,Lemma
w261967,w261967,"花格贝母",n,Lemma
w247792,w247792,"阴云密布",a,Lemma
w258474,w258474,"可拉长",a,Lemma
w225708,w225708,"因不自量力而失败",v,Lemma
w235111,w235111,"资本收益",n,Lemma
w222702,w222702,"汽车高速公路",n,Lemma
w207795,w207795,"玻利维亚+的",a,Lemma
w198688,w198688,"乳汁",a,Lemma
w228324,w228324,"荷兰人+的",a,Lemma
w196594,w196594,"文学评论家",n,Lemma
w249785,w249785,"华贵",n,Lemma
w207655,w207655,"风信子科",n,Lemma
w239181,w239181,"劫掠",n,Lemma
w187897,w187897,"才智+的",a,Lemma
w235586,w235586,"春分或秋分",a,Lemma
w209074,w209074,"食人鱼",n,Lemma
w204616,w204616,"道德沦丧",a,Lemma
w259921,w259921,"不容分说+地",r,Lemma
w223990,w223990,"预估税",n,Lemma
w203965,w203965,"很糟+的",a,Lemma
w243769,w243769,"视网膜+的",a,Lemma
w240537,w240537,"日落",n,Lemma
w213838,w213838,"乳般突起炎",n,Lemma
w224556,w224556,"太空时代",n,Lemma
w193757,w193757,"国内汇票",n,Lemma
w206193,w206193,"轻蔑",a,Lemma
w260016,w260016,"无法可想+地",r,Lemma
w191126,w191126,"一眼看出全貌+的",a,Lemma
w254371,w254371,"不断+的",a,Lemma
w227517,w227517,"使个人化",v,Lemma
w204019,w204019,"痛觉测验计",a,Lemma
w261826,w261826,"多香果",n,Lemma
w262008,w262008,"年少",a,Lemma
w233431,w233431,"经营",v,Lemma
w245402,w245402,"在地上+的",a,Lemma
w238585,w238585,"证券纸",n,Lemma
w205276,w205276,"使联合",v,Lemma
w251119,w251119,"盾状+的",a,Lemma
w192557,w192557,"张力缺乏性",n,Lemma
w224430,w224430,"立体形状",n,Lemma
w201782,w201782,"澡堂",n,Lemma
w217973,w217973,"荒漠土",n,Lemma
w209239,w209239,"指导",n,Lemma
w244521,w244521,"卑劣的家伙",n,Lemma
w232729,w232729,"发散透镜",n,Lemma
w232249,w232249,"产生剧痛",v,Lemma
w261377,w261377,"木材场",n,Lemma
w208574,w208574,"使受神经支配",v,Lemma
w195620,w195620,"外差式+的",a,Lemma
w202015,w202015,"不熟+的",a,Lemma
w230254,w230254,"细晶岩",n,Lemma
w232547,w232547,"国会议员",n,Lemma
w187976,w187976,"对抗剂",n,Lemma
w259223,w259223,"引起骚乱",v,Lemma
w250319,w250319,"乳头状",a,Lemma
w241420,w241420,"去像散+的",a,Lemma
w231450,w231450,"颜色饱和",a,Lemma
w191777,w191777,"使滑动",v,Lemma
w241146,w241146,"凸轮轴",n,Lemma
w237514,w237514,"体力劳动者的",a,Lemma
w210904,w210904,"桉油",n,Lemma
w261915,w261915,"捕",v,Lemma
w236905,w236905,"搁",v,Lemma
w207902,w207902,"搀硼酸",a,Lemma
w254038,w254038,"卫生+地",r,Lemma
w231511,w231511,"地方债券",n,Lemma
w210911,w210911,"水手衫",n,Lemma
w201484,w201484,"未放气+的",a,Lemma
w226941,w226941,"有折射能力+的",a,Lemma
w189689,w189689,"保健+的",a,Lemma
w230284,w230284,"高山银莲花",n,Lemma
w256346,w256346,"岩基",a,Lemma
w255271,w255271,"选区选民",n,Lemma
w243862,w243862,"海地货币单位",n,Lemma
w213532,w213532,"缺量",n,Lemma
w248833,w248833,"异步+的",a,Lemma
w213795,w213795,"嬉笑",a,Lemma
w202980,w202980,"黄色+的",a,Lemma
w219818,w219818,"有锐角",a,Lemma
w251308,w251308,"磨齿兽",n,Lemma
w259551,w259551,"葫芦",n,Lemma
w239843,w239843,"越位地",r,Lemma
w258153,w258153,"有黏性+的",a,Lemma
w216562,w216562,"辊式砂光机",n,Lemma
w188120,w188120,"人类学",a,Lemma
w252510,w252510,"旋转",a,Lemma
w209228,w209228,"激励",v,Lemma
w197797,w197797,"五芒星形",n,Lemma
w236691,w236691,"带负电荷+的",a,Lemma
w190589,w190589,"可修缮+的",a,Lemma
w212329,w212329,"备忘录",n,Lemma
w188256,w188256,"筷子芥",n,Lemma
w197209,w197209,"占支配地位",v,Lemma
w226169,w226169,"无变化",r,Lemma
w237982,w237982,"能驶向上风",a,Lemma
w241289,w241289,"月相",n,Lemma
w231368,w231368,"洗色",n,Lemma
w229066,w229066,"贸易赤字",n,Lemma
w256794,w256794,"眨",v,Lemma
w215059,w215059,"阻滞",v,Lemma
w202801,w202801,"烧断",v,Lemma
w251491,w251491,"卵胎生",a,Lemma
w238870,w238870,"欧洲货币",n,Lemma
w216945,w216945,"非历史",a,Lemma
w241150,w241150,"空间+的",a,Lemma
w236007,w236007,"使不敏感+的",a,Lemma
w251767,w251767,"姨父",n,Lemma
w246751,w246751,"粗黑字体的",a,Lemma
w207269,w207269,"使苦恼",v,Lemma
w226860,w226860,"海百合类",a,Lemma
w201697,w201697,"软性下疳",n,Lemma
w224843,w224843,"陈列",n,Lemma
w202250,w202250,"并行",a,Lemma
w230191,w230191,"谷蛾科昆虫",n,Lemma
w229105,w229105,"论理上",r,Lemma
w199150,w199150,"陆军",n,Lemma
w262122,w262122,"亲近",a,Lemma
w214246,w214246,"忙碌+的",a,Lemma
w195803,w195803,"伯父",a,Lemma
w201670,w201670,"有缓和力的",a,Lemma
w205459,w205459,"领土",n,Lemma
w201330,w201330,"发闪烁之光",v,Lemma
w222400,w222400,"不停",r,Lemma
w247632,w247632,"繁忙",n,Lemma
w240758,w240758,"抗议",n,Lemma
w256691,w256691,"有责任+的",a,Lemma
w260612,w260612,"真理+的",a,Lemma
w197713,w197713,"火成",a,Lemma
w238835,w238835,"歪头",n,Lemma
w204988,w204988,"船龙骨",n,Lemma
w259990,w259990,"西方",n,Lemma
w199276,w199276,"使排出",a,Lemma
w259855,w259855,"文莱美元",n,Lemma
w193405,w193405,"贷款",v,Lemma
w263401,w263401,"山梅花亚科",n,Lemma
w198631,w198631,"航空宇宙",n,Lemma
w250618,w250618,"警戒艇",n,Lemma
w247954,w247954,"用如尼文刻写+的",a,Lemma
w213123,w213123,"颜色有变化+的",a,Lemma
w212422,w212422,"自负",a,Lemma
w212700,w212700,"守旧+的",a,Lemma
w219703,w219703,"传记体+的",a,Lemma
w223370,w223370,"有品德+的",a,Lemma
w259056,w259056,"与生俱来",r,Lemma
w226421,w226421,"像荒地一样",a,Lemma
w216753,w216753,"孵卵",n,Lemma
w227561,w227561,"杏仁状+的",a,Lemma
w241774,w241774,"有锯齿",a,Lemma
w237552,w237552,"冷冻室",n,Lemma
w193969,w193969,"非主题",a,Lemma
w219690,w219690,"抽搐+的",a,Lemma
w200193,w200193,"听其自然",v,Lemma
w189202,w189202,"平动",a,Lemma
w224478,w224478,"遗言+的",a,Lemma
w203876,w203876,"申请人",n,Lemma
w235307,w235307,"人体测量",a,Lemma
w251523,w251523,"鼬瓣花属",n,Lemma
w228683,w228683,"宗派分立罪",n,Lemma
w223305,w223305,"帮助",a,Lemma
w234839,w234839,"地美环素",n,Lemma
w204516,w204516,"垃圾桶",n,Lemma
w201254,w201254,"勿忘草属",n,Lemma
w224471,w224471,"无间断继续",v,Lemma
w249271,w249271,"羊毛织物",n,Lemma
w209977,w209977,"真经",a,Lemma
w192062,w192062,"掌上电脑",n,Lemma
w263366,w263366,"正相反的事物",n,Lemma
w240452,w240452,"畏惧",v,Lemma
w259290,w259290,"乙炔",n,Lemma
w245244,w245244,"航母",n,Lemma
w211314,w211314,"比得上+的",a,Lemma
w244068,w244068,"雪羊",n,Lemma
w197921,w197921,"电车费",n,Lemma
w256648,w256648,"多形炭角菌",n,Lemma
w227318,w227318,"乌贼墨",n,Lemma
w217804,w217804,"彩色",a,Lemma
w234046,w234046,"留有遗嘱",a,Lemma
w223095,w223095,"可做",a,Lemma
w208088,w208088,"随和+的",a,Lemma
w248064,w248064,"第二十二",a,Lemma
w251187,w251187,"箔",n,Lemma
w247918,w247918,"饱和脂肪酸",n,Lemma
w236328,w236328,"定量",n,Lemma
w234191,w234191,"业余爱好",n,Lemma
w252744,w252744,"怨恨+地",r,Lemma
w245583,w245583,"投票",n,Lemma
w258686,w258686,"具有进入的资格",a,Lemma
w224071,w224071,"肛门前",a,Lemma
w258812,w258812,"狂暴的",a,Lemma
w233305,w233305,"第三十",n,Lemma
w255772,w255772,"阿庇乌古道",n,Lemma
w198053,w198053,"被逐出",a,Lemma
w215966,w215966,"食植瓢虫属",n,Lemma
w243275,w243275,"血缘",n,Lemma
w247862,w247862,"异孔石鲈属",n,Lemma
w229032,w229032,"铁头登山杖",n,Lemma
w207710,w207710,"黄铜制品",n,Lemma
w204823,w204823,"公寓小套间",n,Lemma
w190057,w190057,"反常状态",n,Lemma
w246711,w246711,"阿谀",v,Lemma
w205378,w205378,"肝脏绒",n,Lemma
w261948,w261948,"掠过",a,Lemma
w231019,w231019,"大西洋马鲛",n,Lemma
w248297,w248297,"病态",a,Lemma
w264248,w264248,"横翻斤斗",n,Lemma
w225857,w225857,"蒙上面纱+的",a,Lemma
w226084,w226084,"结局",n,Lemma
w248509,w248509,"少数",n,Lemma
w191663,w191663,"缆柱头",n,Lemma
w212239,w212239,"鸟类",n,Lemma
w195216,w195216,"适当的",r,Lemma
w243081,w243081,"红葡萄酒色",a,Lemma
w240508,w240508,"渠",n,Lemma
w209402,w209402,"光化学",a,Lemma
w242975,w242975,"炼金术士",n,Lemma
w197998,w197998,"单排钮扣+的",a,Lemma
w255541,w255541,"向西北",r,Lemma
w203446,w203446,"阿尔卑斯山",a,Lemma
w255781,w255781,"纹蛱蝶属",n,Lemma
w210005,w210005,"子囊盘",a,Lemma
w235004,w235004,"红细胞生成素",n,Lemma
w237963,w237963,"比分",n,Lemma
w206532,w206532,"黄褐病",n,Lemma
w197351,w197351,"光神霉素",n,Lemma
w234259,w234259,"蛛网状+的",a,Lemma
w227532,w227532,"自相矛盾+的",a,Lemma
w240673,w240673,"小铸像",n,Lemma
w200227,w200227,"机密的",a,Lemma
w200314,w200314,"柱子",n,Lemma
w199659,w199659,"大便失禁",n,Lemma
w212325,w212325,"实时",a,Lemma
w192337,w192337,"坏透了+地",r,Lemma
w261271,w261271,"转变",v,Lemma
w235218,w235218,"不在者",n,Lemma
w204743,w204743,"相互理解",n,Lemma
w194856,w194856,"象马+的",a,Lemma
w235040,w235040,"送还",v,Lemma
w231716,w231716,"右旋性+的",a,Lemma
w220898,w220898,"非洲紫罗兰",n,Lemma
w225891,w225891,"紫苜蓿",n,Lemma
w249105,w249105,"量筒",n,Lemma
w199502,w199502,"语标+的",a,Lemma
w192135,w192135,"神经心理学",a,Lemma
w195445,w195445,"经度15°",n,Lemma
w258244,w258244,"椰子",n,Lemma
w255923,w255923,"契约规定",a,Lemma
w216034,w216034,"宽身帆船",n,Lemma
w255970,w255970,"意识上",r,Lemma
w234273,w234273,"含钙+的",a,Lemma
w264031,w264031,"害鼠属",n,Lemma
w233386,w233386,"忘忧草",n,Lemma
w238232,w238232,"间隙",n,Lemma
w233141,w233141,"蜜熊属",n,Lemma
w232294,w232294,"不动情期",n,Lemma
w213439,w213439,"在场从犯",n,Lemma
w256243,w256243,"盾状叶",n,Lemma
w240071,w240071,"不能引用的",a,Lemma
w205322,w205322,"销售点系统",n,Lemma
w260555,w260555,"仓库存储量",n,Lemma
w255049,w255049,"选单",n,Lemma
w237217,w237217,"胰酶",n,Lemma
w203760,w203760,"荡桨",v,Lemma
w237498,w237498,"前导",v,Lemma
w245106,w245106,"微小陨石",a,Lemma
w237749,w237749,"可理解",a,Lemma
w243201,w243201,"上流+的",a,Lemma
w225488,w225488,"固执",v,Lemma
w196666,w196666,"人格解体",n,Lemma
w219893,w219893,"不设防",a,Lemma
w263328,w263328,"继续下去",v,Lemma
w210498,w210498,"兆欧姆",n,Lemma
w251661,w251661,"第三百+的",a,Lemma
w261441,w261441,"笨蛋",n,Lemma
w217751,w217751,"漏斗状物",n,Lemma
w249645,w249645,"混入",v,Lemma
w203360,w203360,"倾向",n,Lemma
w255001,w255001,"回转仪稳定器",n,Lemma
w258350,w258350,"偷懒",r,Lemma
w246531,w246531,"各种",a,Lemma
w242993,w242993,"重台",n,Lemma
w208564,w208564,"使紊乱",v,Lemma
w226780,w226780,"有关",v,Lemma
w196524,w196524,"睾丸激素",n,Lemma
w245266,w245266,"合并+的",a,Lemma
w219380,w219380,"锡克教+的",a,Lemma
w210334,w210334,"山茱萸属",n,Lemma
w264414,w264414,"刷色",n,Lemma
w205729,w205729,"风干砖坯",n,Lemma
w238673,w238673,"蜀葵",n,Lemma
w242636,w242636,"高尔夫球棒",n,Lemma
w238251,w238251,"迪拉姆",n,Lemma
w222675,w222675,"卑鄙",n,Lemma
w212965,w212965,"生殖泌尿器",a,Lemma
w201099,w201099,"痛饮",v,Lemma
w208551,w208551,"事实",n,Lemma
w195542,w195542,"献祭",a,Lemma
w194177,w194177,"席纹呢",n,Lemma
w246732,w246732,"较近",r,Lemma
w224894,w224894,"以一种特殊的方式指导或表现自",v,Lemma
w194755,w194755,"美洲落叶松",n,Lemma
w246025,w246025,"敌对行为",n,Lemma
w243019,w243019,"运动+的",a,Lemma
w191483,w191483,"使孤立",v,Lemma
w264408,w264408,"归功于",v,Lemma
w254677,w254677,"不清洁",r,Lemma
w233722,w233722,"屈",v,Lemma
w198724,w198724,"药理学",a,Lemma
w200846,w200846,"直立延龄草",n,Lemma
w259791,w259791,"便利+的",a,Lemma
w228719,w228719,"圣坛装饰画",n,Lemma
w208675,w208675,"无板纲软体动物",n,Lemma
w223512,w223512,"尘状",a,Lemma
w219412,w219412,"使不适当地联合",v,Lemma
w197974,w197974,"学院等级",n,Lemma
w204306,w204306,"腥黑粉菌目",n,Lemma
w189209,w189209,"神秘",a,Lemma
w262171,w262171,"养鱼场",n,Lemma
w244840,w244840,"延长绳",n,Lemma
w230864,w230864,"有分歧",a,Lemma
w228702,w228702,"违法+的",a,Lemma
w253612,w253612,"欢腾+的",a,Lemma
w215682,w215682,"分析家",n,Lemma
w235488,w235488,"应斥责",a,Lemma
w223263,w223263,"非道德论",n,Lemma
w193033,w193033,"铅中毒性绞痛",n,Lemma
w188609,w188609,"卖弄风情",a,Lemma
w245544,w245544,"可改动",a,Lemma
w188960,w188960,"狗獾",n,Lemma
w259214,w259214,"石炭系",a,Lemma
w229110,w229110,"条状病",n,Lemma
w198094,w198094,"著名+地",r,Lemma
w197439,w197439,"需氧生活",n,Lemma
w197230,w197230,"冒险",n,Lemma
w192071,w192071,"铅绞痛",n,Lemma
w217549,w217549,"穿靴+的",a,Lemma
w247745,w247745,"礼品税",n,Lemma
w218293,w218293,"长柄平锅",n,Lemma
w188815,w188815,"应受指责",a,Lemma
w191945,w191945,"体质",n,Lemma
w224233,w224233,"夸大其辞+的",a,Lemma
w192616,w192616,"清朗+地",r,Lemma
w190388,w190388,"精通",r,Lemma
w234349,w234349,"风干了+的",a,Lemma
w215256,w215256,"镜子",n,Lemma
w205932,w205932,"教育+的",a,Lemma
w189271,w189271,"蝙蝠科",n,Lemma
w256248,w256248,"科学研究工作者",n,Lemma
w235648,w235648,"威尼斯",a,Lemma
w233898,w233898,"曲霉属",n,Lemma
w217116,w217116,"胚胎",a,Lemma
w213885,w213885,"巯基嘌呤",n,Lemma
